Note Names from C	Number Of Notes In Scale	Ascending Note Positions in Scale	Binary 12notes 1&0	Pitch Set binary	Name Of Scale	Alternative Scale Names	Flatmost Note	PitchSet Notation 12 edo	PositionOfTonic	Sharpmost Note	Composer	Reference Url	WorkExample
C C# D E F G G# A Bb B .	10	1 1# 2 3 4 5 5# 6 7b 7 .	111011011111	3807	Theoretical - No Known Name		Bb	0 1 2 4 5 7 8 9 10 11	3	G#			
C Db D Eb F Gb Ab A Bb Cb .	10	1 2b 2 3b 4 5b 6b 6 7b 8b .	111101101111	3951	Theoretical - No Known Name		Cb	0 1 2 3 5 6 8 9 10 11	8	A			
C Db D Eb F G Ab Bb B .	9	1 2b 2 3b 4 5 6b 7b 7 .	111101011011	3931	Theoretical - No Known Name		Db	0 1 2 3 5 7 8 10 11	6	B			
C Db Eb F Gb Ab A Bb Cb .	9	1 2b 3b 4 5b 5b 6 7b 8b .	110101101111	3439	Theoretical - No Known Name		Cb	0 1 3 5 6 8 9 10 11	8	A			
C Db F F# G B .	6	1 2b 4 4# 5 7 .	110001110001	3185	Messiaen Mode 5 	Mode 5	Db	0 1 5 6 7 11	6	B	Messiaen Mode 5	http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/	Technique of My Musical Language e.g. 347 from C
C C# F F# Ab A Bb B .	8	1 1# 4 4# 6b 6 7b 7 .	110001101111	3183	Theoretical - No Known Name		Ab	0 1 5 6 8 9 10 11	5	F#			
C C# F F# Ab A Bb .	7	1 1# 4 4# 6b 6 7b .	110001101110	3182	Gipsy Hexatonic, Raga Kalakanti		Ab	0 1 5 6 8 9 10	5	F#			
C C# E F G# A A# .	7	1 1# 3 4 5# 6 6# .	110011001110	3278	Theoretical - No Known Name		C	0 1 4 5 8 9 10	1	A#			
C D D# E F G G# A A# B .	10	1 2 2# 3 4 5 5# 6 6# 7 .	101111011111	3039	Major & Minor mixed		F	0 2 3 4 5 7 8 9 10 11	2	D#			
C F Gb B .	4	1 4 5b 7 .	100001100001	2145	Messiaen Truncated Mode 5 Inverse		Gb	0 5 6 11	7	B	Messiaen	"http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/
http://www.ehow.com/how_4478810_play-messiaens-truncated-mode-5.html

"	
C D F F# G A# B .	7	1 2 4 4# 5 6# 7 .	101001110011	2675	Chromatic Mixolydian Inverse		F	0 2 5 6 7 10 11	2	A#			
C C# D D# E E# F# G G# A A# B .	12	1 1# 2 2# 3 3# 4# 5 5# 6 6# 7 .	111111111111	4095	08 LT DAW 0b6s F# to E#		C	0 1 2 3 4 5 6 7 8 9 10 11	1	E#		http://www.lucytune.com/midi_and_keyboard/pitch_bend.html	
Dbb Db Ebb Eb Fb F Gb Abb Ab Bbb Bb Cb .	12	2bb 2b 3bb 3b 4b 4 5b 6bb 6b 7bb 7b 8b .	111111111111	4095	20 LT DAW  (C note = Dbb) 11b	11b 0# Bb Eb Ab Db Gb Cb Fb Bbb Ebb Abb Dbb	Dbb	0 1 2 3 4 5 6 7 8 9 10 11	1	F			
C Db D Eb Fb F Gb G Ab Bbb Bb Cb .	12	1 2b 2 3b 4b 4 5b 5 6b 7bb 7b 8b .	111111111111	4095	17 LT DAW 8b 0# Bb Eb Ab Db Gb Cb Fb Bbb		Bbb	0 1 2 3 4 5 6 7 8 9 10 11	10	D			
B# C# Cx D# E E# F# Fx G# A A# B .	12	7# 1# 1x 2# 3 3# 4# 4x 5# 6 6# 7 .	111111111111	4095	11 LT DAW 0b9s (C note = B#)		A	0 1 2 3 4 5 6 7 8 9 10 11	10	Cx			
