Note Names from C	Number Of Notes In Scale	Ascending Note Positions in Scale	Binary 12notes 1&0	Pitch Set binary	Name Of Scale	Alternative Scale Names	Flatmost Note	PitchSet Notation 12 edo	PositionOfTonic	Sharpmost Note	Composer	Reference Url	WorkExample
C Db D F Ab Bb .	6	1 2b 2 4 6b 7b .	111001001010	3658	Theoretical - No Known Name		Db	0 1 2 5 8 10	6	D			
C Eb Gb Ab Bb Cb .	6	1 3b 5b 6b 7b 8b .	100100101011	2347	Theoretical - No Known Name		Cb	0 3 6 8 10 11	8	C			
C C# D E F# G B .	7	1 1# 2 3 4# 5 7 .	111010110001	3761	Theoretical - No Known Name		C	0 1 2 4 6 7 11	1	C#			
C E F F# G A B .	7	1 3 4 4# 5 6 7 .	100011110101	2293	Theoretical - No Known Name		F	0 4 5 6 7 9 11	2	F#			
C D E F A Bb B .	7	1 2 3 4 6 7b 7 .	101011000111	2759	Raga Ragesri (India)		Bb	0 2 4 5 9 10 11	3	B			
C D Eb G Ab A Bb .	7	1 2 3b 5 6b 6 7b .	101100011110	2846	Theoretical - No Known Name		Ab	0 2 3 7 8 9 10	5	A			
C Db D Eb F G Ab .	7	1 2b 2 3b 4 5 6b .	111101011000	3928	Theoretical - No Known Name		Db	0 1 2 3 5 7 8	6	D			
C Db F Gb G Ab Bb .	7	1 2b 4 5b 5 6b 7b .	110001111010	3194	Theoretical - No Known Name		Gb	0 1 5 6 7 8 10	7	G			
C Db Eb F Gb Bb Cb .	7	1 2b 3b 4 5b 7b 8b .	110101100011	3427	Theoretical - No Known Name		Cb	0 1 3 5 6 10 11	8	C			
C C# D F# G B .	6	1 1# 2 4# 5 7 .	111000110001	3633	Raga Vijayasri (India)		C	0 1 2 6 7 11	1	C#			
C E F F# G B .	6	1 3 4 4# 5 7 .	100011110001	2289	Theoretical - No Known Name		F	0 4 5 6 7 11	2	F#			
C E F A Bb B .	6	1 3 4 6 7b 7 .	100011000111	2247	Theoretical - No Known Name		Bb	0 4 5 9 10 11	3	B			
C Db D Eb G Ab .	6	1 2b 2 3b 5 6b .	111100011000	3864	Theoretical - No Known Name		Db	0 1 2 3 7 8	6	D			
C Db F Gb Bb Cb .	6	1 2b 4 5b 7b 8b .	110001100011	3171	Theoretical - No Known Name		Cb	0 1 5 6 10 11	8	C			
C C# D F# G .	5	1 1# 2 4# 5 .	111000110000	3632	Raga Nabhomani (India)		C	0 1 2 6 7	1	C#			
C F F# G B .	5	1 4 4# 5 7 .	100001110001	2161	Theoretical - No Known Name		F	0 5 6 7 11	2	F#			
C E F Bb B .	5	1 3 4 7b 7 .	100011000011	2243	Theoretical - No Known Name		Bb	0 4 5 10 11	3	B			
C Db Gb G Ab .	5	1 2b 5b  5 6b .	110000111000	3128	Raga Saugandhini, Yashranjani (India)		Gb	0 1 6 7 8	7	G			
C Db F Gb Cb .	5	1 2b 4 5b 8b .	110001100001	3169	Theoretical - No Known Name		Cb	0 1 5 6 11	8	C			
C C# D G .	4	1 1# 2 5 .	111000010000	3600	Theoretical - No Known Name 		C	0 1 2 7	1	C#			
C F F# G .	4	1 4 4# 5 .	100001110000	2160	"Theoretical - No Known Name
Theoretical - No Known Name
Theoretical - No Known Name
Theoretical - No Known Name
Theoretical - No Known Name
Theoretical - No Known Name
"		F	0 5 6 7	2	F#			
C F Bb B .	4	1 4 7b 7 .	100001000011	2115	Theoretical - No Known Name		Bb	0 5 10 11	3	B			
C Db Gb Cb .	4	1 2b 5b 8b .	110000100001	3105	Theoretical - No Known Name		Cb	0 1 6 11	8	C			
C C# D G B .	5	1 1# 2 5 7 .	111000010001	3601	Theoretical - No Known Name		C	0 1 2 7 11	1	C#			
C E F F# G .	5	1 3 4 4# 5 .	100011110000	2288	Theoretical - No Known Name		F	0 4 5 6 7	2	F#			
C F A Bb B .	5	1 4 6 7b 7 .	100001000111	2119	Theoretical - No Known Name		Bb	0 5 9 10 11	3	B			
C Db D Eb Ab .	5	1 2b 2 3b 6b .	111100001000	3848	Theoretical - No Known Name		Db	0 1 2 3 8	6	D			
C Db Gb Bb Cb .	5	1 2b 5b 7b b8 .	110000100011	3107	Theoretical - No Known Name		Cb	0 1 6 10 11	8	C			
C C# D E F# G .	6	1 1# 2 3 4# 5 .	111010110000	3760	Theoretical - No Known Name		C	0 1 2 4 6 7	1	C#			
C F F# G A B .	6	1 4 4# 5 6 7 .	100001110101	2165	Theoretical - No Known Name		F	0 5 6 7 9 11	2	F#			
C D E F Bb B .	6	1 2 3 4 7b 7 .	101011000011	2755	Theoretical - No Known Name		Bb	0 2 4 5 10 11	3	B			
C D Eb Ab A Bb .	6	1 2 3b 6b 6 7b .	101100001110	2830	Theoretical - No Known Name		Ab	0 2 3 8 9 10	5	A			
C Db Gb G Ab Bb .	6	1 2b 5b 5 6b 7b .	110000111010	3130	Theoretical - No Known Name		Gb	0 1 6 7 8 10	7	G			
C Db Eb F Gb Cb  .	6	1 2b 3b f 5b 8b .	110101100001	3425	Theoretical - No Known Name		Cb	0 1 3 5 6 11	8	C			
C C# D E G .	5	1 1# 2 3 5 .	111010010000	3728	Theoretical - No Known Name		C	0 1 2 4 7	1	C#			
C F F# G A .	5	1 4 4# 5 6 .	100001110100	2164	Theoretical - No Known Name		F	0 5 6 7 9	2	F#			
C D F Bb B .	5	1 2 4 7b 7 .	101001000011	2627	Theoretical - No Known Name		Bb	0 2 5 10 11	3	B			
C Eb Ab A Bb .	5	1 3b 6b 6 7b .	100100001110	2318	Theoretical - No Known Name		Ab	0 3 8 9 10	5	A			
C Db Eb Gb Cb .	5	1 2b 3b 5b 8b .	110100100001	3361	Theoretical - No Known Name		Cb	0 1 3 6 11	8	C			
C C# D E G B .	6	1 1# 2 3 5 7 .	111010010001	3729	Theoretical - No Known Name		C	0 1 2 4 7 11	1	C#			
C E F F# G A .	6	1 3 4 4# 5 6 .	100011110100	2292	Theoretical - No Known Name		F	0 4 5 6 7 9	2	F#			
C D F A Bb B .	6	1 2 4 6 7b 7 .	101001000111	2631	Theoretical - No Known Name		Bb	0 2 5 9 10 11	3	B			
C Eb G Ab A Bb .	6	1 3b 5 6b 6 7b .	100100011110	2334	Theoretical - No Known Name		Ab	0 3 7 8 9 10	5	A			
C Db D Eb F Ab .	6	1 2b 2 3b 4 6b .	111101001000	3912	Theoretical - No Known Name		Db	0 1 2 3 5 8	6	D			
C Db Eb Gb Bb Cb .	6	1 2b 3b 5b 7b 8b .	110100100011	3363	Theoretical - No Known Name		Cb	0 1 3 6 10 11	8	C			
C C# D F# G A B .	7	1 1# 2 4# 5 6 7 .	111000110101	3637	Mela Pavani (India)		C	0 1 2 6 7 9 11	1	C#			
C D E F F# G B .	7	1 2 3 4 4# 5 7 .	101011110001	2801	Theoretical - No Known Name		F	0 2 4 5 6 7 11	2	F#			
C E F G A Bb B .	7	1 3 4 5 6 7b 7 .	100011010111	2263	Raga Madhuri 11/4891011/2 in 12edo)		Bb	0 4 5 7 9 10 11	3	B			
C D Eb E F A Bb .	7	1 2 3b 3 4 6 7b .	101111000110	3014	Theoretical - No Known Name		Eb	0 2 3 4 5 9 10	4	E			
C Db D Eb G Ab Bb .	7	1 2b 2 3b 5 6b 7b .	111100011010	3866	Theoretical - No Known Name		Db	0 1 2 3 7 8 10	6	D			
C Db Eb F Gb G Ab .	7	1 2b 3b 4 5b 5 6b .	110101111000	3448	Theoretical - No Known Name		Gb	0 1 3 5 6 7 8	7	G			
C Db F Gb Ab Bb Cb .	7	1 2b 4 5b 6b 7b 8b .	110001101011	3179	Theoretical - No Known Name		Cb	0 1 5 6 8 10 11	8	C			
C C# D F# G A  .	6	1 1# 2 4# 5 6 .	111000110100	3636	Raga Chandrajyoti (India)		C	0 1 2 6 7 9	1	C#			
C D F F# G B .	6	1 2 4 4# 5 7 .	101001110001	2673	Theoretical - No Known Name		F	0 2 5 6 7 11	2	F#			
C E F G Bb B .	6	1 3 4 5 7b 7 .	100011010011	2259	Raga Tilang, Savitri (India)		Bb	0 4 5 7 10 11	3	B			
C Eb E F A Bb .	6	1 3b 3 4 6 7b .	100111000110	2502	Theoretical - No Known Name		Eb	0 3 4 5 9 10	4	E			
C Db Eb Gb G Ab .	6	1 2b 3b 5b 5 6b .	110100111000	3384	Theoretical - No Known Name		Gb	0 1 3 6 7 8	7	G			
C Db F Gb Ab Cb .	6	1 2b 4 5b 6b 8b .	110001101001	3177	Theoretical - No Known Name		Cb	0 1 5 6 8 11	8	C			
C C# D G A .	5	1 1# 2 5 6 .	111000010100	3604	Theoretical - No Known Name		C	0 1 2 7 9	1	C#			
C D F F# G .	5	1 2 4 4# 5 .	101001110000	2672	Theoretical - No Known Name		F	0 2 5 6 7 	2	F#			
C F G Bb B .	5	1 4 5 7b 7 .	100001010011	2131	Theoretical - No Known Name		Bb	0 5 7 10 11	3	B			
C Eb E F Bb .	5	1 3b 3 4 7b .	100111000010	2498	Theoretical - No Known Name		Eb	0 3 4 5 10	4	E			
C Db Gb Ab Cb .	5	1 2b 5b 6b 8b .	110000101001	3113	Theoretical - No Known Name		Cb	0 1 6 8 11	8	C			
C C# D G A B .	6	1 1# 2 5 6 7 .	111000010101	3605	Theoretical - No Known Name		C	0 1 2 7 9 11	1	C#			
C D E F F# G .	6	1 2 3 4 4# 5 .	101011110000	2800	Raga Dipak (India)		F	0 2 4 5 6 7	2	F#			
C F G A Bb B .	6	1 4 5 6 7b 7 .	100001010111	2135	Theoretical - No Known Name		Bb	0 5 7 9 10 11	3	B			
C D Eb E F Bb .	6	1 2 3b 3 4 7b .	101111000010	3010	Theoretical - No Known Name		Eb	0 2 3 4 5 10	4	E			
C Db D Eb Ab Bb .	6	1 2b 2 3b 6b 7b .	111100001010	3850	Theoretical - No Known Name		Db	0 1 2 3 8 10	6	D			
C Db Gb Ab Bb Cb .	6	1 2b 5b 6b 7b 8b .	110000101011	3115	Theoretical - No Known Name		Cb	0 1 6 8 10 11	8	C			
C C# D E F G B .	8	1 1# 2 3 4 5 7 .	111011010001	3793	Theoretical - No Known Name		C	0 1 2 4 5 7 11	2	C#			
C C# D E F# G A .	7	1 1# 2 3 4# 5 6 .	111010110100	3764	Theoretical - No Known Name		C	0 1 2 4 6 7 9	1	C#			
C D F F# G A B .	7	1 2 4 4# 5 6 7 .	101001110101	2677	Theoretical - No Known Name		F	0 2 5 6 7 9 11	2	F#			
C D E F G Bb B .	7	1 2 3 4 5 7b 7 .	101011010011	2771	Mela Nagananadini (India)		Bb	0 2 4 5 7 10 11	3	B			
C Eb E F G A Bb .	7	1 3b 3 4 5 6 7b .	100111010110	2518	Raga Nandkauns (India) (same as Rock 11/5891011/3 in 12 edo)		Eb	0 3 4 5 7 9 10	4	E			
C D Eb F Ab A Bb .	7	1 2 3b 4 6b 6 7b .	101101001110	2894	Theoretical - No Known Name		Ab	0 2 3 5 8 9 10	5	A			
C Db Eb Gb G Ab Bb .	7	1 2b 3b 5b 5 6b 7b .	110100111010	3386	Mela Bhavapriya (India)		Gb	0 1 3 6 7 8 10	7	G			
C Db Eb F Gb Ab Cb .	7	1 2b 3b 4 5b 6b 8b .	110101101001	3433	Theoretical - No Known Name		Cb	0 1 3 5 6 8 11	8	C			
C C# D E G A .	6	1 1# 2 3 5 6 .	111010010100	3732	Theoretical - No Known Name		C	0 1 2 4 7 9	1	C#			
C D F F# G A .	6	1 2 4 4# 5 6 .	101001110100	2676	Theoretical - No Known Name		F	0 2 5 6 7 9	2	F#			
C D F G Bb B .	6	1 2 4 5 7b 7 .	101001010011	2643	Raga Megh (India) (same as Raga Megh 11/56891011/2 in 12edo)		Bb	0 2 5 7 10 11	3	B			
C Eb E F G Bb .	6	1 3b 3 4 5 7b .	100111010010	2514	Raga Bhanumanjari (India)		Eb	0 3 4 5 7 10	4	E			
C Eb F Ab A Bb .	6	1 3b 4 6b 6 7b .	100101001110	2382	Theoretical - No Known Name		Ab	0 3 5 8 9 10	5	A			
C Db Eb Gb Ab Cb .	6	1 2b 3b 5b 6b 8b .	110100101001	3369	Raga Gujari Todi (India)		Cb	0 1 3 6 8 11	8	C			
C C# D E G A B .	7	1 1# 2 3 5 6 7 .	111010010101	3733	Theoretical - No Known Name		C	0 1 2 4 7 9 11	1	C#			
C D E F F# G A .	7	1 2 3 4 4# 5 6 .	101011110100	2804	Theoretical - No Known Name		F	0 2 4 5 6 7 9	2	F#			
C D F G A Bb B .	7	1 2 4 5 6 7b 7 .	101001010111	2647	Raga Sorati (India)		Bb	0 2 5 7 9 10 11	3	B			
C D Eb E F G Bb .	7	1 2 3b 3 4 5 7b .	101111010010	3026	Theoretical - No Known Name		Eb	0 2 3 4 5 7 10	4	E			
C Eb F G Ab A Bb .	7	1 3b 4 5 6b 6 7b .	100101011110	2398	Theoretical - No Known Name		Ab	0 3 5 7 8 9 10	5	A			
C Db D Eb F Ab Bb .	7	1 2b 2 3b 4 6b 7b .	111101001010	3914	Theoretical - No Known Name		Db	0 1 2 3 5 8 10	6	D			
C Db Eb Gb Ab Bb Cb .	7	1 2b 3b 5b 6b 7b 8b .	110100101011	3371	Enigmatic Minor (all b¢s)  15/245789101315/6 in 12edo		Cb	0 1 3 6 8 10 11	8	C			
C C# D E F# G G# A B .	9	1 1# 2 3 4# 5 5# 6 7 .	111010111101	3773	Theoretical - No Known Name		C	0 1 2 4 6 7 8 9 11	1	G#			
C C# D E F F# G A B .	9	1 1# 2 3 4 4# 5 6 7 .	111011110101	3829	Theoretical - No Known Name		F	0 1 2 4 5 6 7 9 11	2	C#			
C D E F F# G A Bb B .	9	1 2 3 4 4# 5 6 7b 7 .	101011110111	2807	Lydian Mixolydian Taishikicho, Ryo (Japan)		Bb	0 2 4 5 6 7 9 10 11	3	F#			
C D Eb E F G A Bb B .	9	1 2 b3 3 4 5 6 7b 7 .	101111010111	3031	Raga Ramdasi Malhar (India)		Eb	0 2 3 4 5 7 9 10 11	4	B			
C D Eb E F G Ab A Bb   .	9	1 2 3b 3 4 5 b6 6 b7 .	101111011110	3038	Houseini (Greece)		Ab	0 2 3 4 5 7 8 9 10	5	E			
C Db D Eb F G Ab A Bb .	9	1 2b 2 3b 4 5 6b 6 7b .	111101011110	3934	Chromatic Diatonic Dorian (all b)	as 11/8910/4 in 12edo	Db	0 1 2 3 5 7 8 9 10	6	A			
C Db D Eb F Gb G Ab Bb .	9	1 2b 2 3b 4 5b 5 6b 7b  .	111101111010	3962	Theoretical - No Known Name		Gb	0 1 2 3 5 6 7 8 10	7	D			
C Db Eb F Gb G Ab Bb Cb .	9	1 2b 3b 4 5b 5 6b 7b 8b .	110101111011	3451	Theoretical - No Known Name		Cb	0 1 3 5 6 7 8 10 11	8	G			
C Db Eb Fb F Gb Ab Bb Cb .	9	1 2b 3b 4b 4 5b 6b 7b 8b .	110111101011	3563	Theoretical - No Known Name		Fb	0 1 3 4 5 6 8 10 11	9	C			
C C# D E F# G# A B .	8	1 1# 2 3 4# 5# 6 7 .	111010101101	3757	Theoretical - No Known Name		C	0 1 2 4 6 8 9 11	1	G#			
C D E F# G A Bb B .	8	1 2 3 4# 5 6 7b 8 .	101010110111	2743	Lydian Dominant + natural seventh	Lydian with both natural and dominant 7th	Bb	0 2 4 6 7 9 10 11	3	F#			
C D Eb E F G A B .	8	1 2 3b 3 4 5 6 7 .	101111010101	3029	Theoretical - No Known Name		Eb	0 2 3 4 5 7 9 11	4	B			
C D E F G Ab A Bb .	8	1 2 3 4 5 6b 6 7b .	101011011110	2782	Theoretical - No Known Name		Ab	0 2 4 5 7 8 9 10	5	E			
C Db D Eb F G A Bb .	8	1 2b 2 3b 4 5 6 7b .	111101010110	3926	Adonai Malakh (Israel) 3b¢s		Db	0 1 2 3 5 7 9 10	6	A			
C Db Eb F G Ab Bb Cb .	8	1 2b 3b 4 5 6b 7b 8b .	110101011011	3419	Theoretical - No Known Name		Cb	0 1 3 5 7 8 10 11	8	G			
C Db Eb Fb F Gb Ab Bb .	8	1 2b 3b 4b 4 5b 6b 7b .	110111101010	3562	 Spanish 8 tones (all b¢s) in 12edo) + Fb		Fb	0 1 3 4 5 6 8 10	9	C			
C C# E F# G# A B .	7	1 1# 3 4# 5# 6 7 .	110010101101	3245	Theoretical - No Known Name		C	0 1 4 6 8 9 11	1	G#			
C D Eb E G A B .	7	1 2 3b 3 5 6 7 .	101110010101	2965	Theoretical - No Known Name		Eb	0 2 3 4 7 9 11	4	B			
C Db D F G A Bb .	7	1 2b 2 4 5 6 7b .	111001010110	3670	Mela Vanaspati (India)		Db	0 1 2 5 7 9 10	6	A			
C Db Eb Fb F Ab Bb .	7	1 2b 3b 4b 4 6b 7b .	110111001010	3530	Theoretical - No Known Name		Fb	0 1 3 4 5 8 10	9	C			
C C# E F# G# B .	6	1 1# 3 4# 5# 7 .	110010101001	3241	Theoretical - No Known Name		C	0 1 4 6 8 11	1	G#			
C Eb G Cb .	4	1 3b 5 8b .	100100010001	2321	C minor 7 (b8) chord	Chord Cm7b8	Cb	0 3 7 11	8	G			
C G# .	2	1 5# .	100000001000	2056	Sharp Fifth Interval		C	0 8	1	G#			
C G# B .	3	1 5# 7 .	100000001001	2057	Theoretical - No Known Name		C	1 8 11	1	G#			
C F# G# B .	4	1 4# 5# 7 .	100000101001	2089	Theoretical - No Known Name		C	0 6 8 11	1	G#			
C C# E F# G# .	5	1 1# 3 4# 5# .	110010101000	3240	Theoretical - No Known Name		C	0 1 4 6 8	1	G#			
C D E Ab A .	5	1 2 3 6b 6 .	101010001100	2700	Theoretical - No Known Name		Ab	0 2 4 8 9	5	E			
C C# E G# .	4	1 1# 3 5# .	110010001000	3208	Theoretical - No Known Name		C	0 1 4 8	1	G#			
C E G# .	3	1 3 5# .	100010001000	2184	Messiaen 3rd Mode & Augmented Chord	augmented	C	0 4 8	1	G#	Messiaen (3rd Mode)	http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/	Technique of My Musical Language - Messiaen
C E Ab .	3	1 3 6b .	100010001000	2184	Major Flat 6 (no fifth)		Ab	0 4 8	5	E			
C E F# G# .	4	1 3 4# 5# .	100010101000	2216	Theoretical - No Known Name		C	0 4 6 8	1	G#			
C C# E G# B .	5	1 1# 3 5# 7  .	110010001001	3209	Theoretical - No Known Name		C	0 1 4 8 11	1	G#			
C Db D F A .	5	1 2b 2 4 6 .	111001000100	3652	Theoretical - No Known Name		Db	0 1 2 5 9	6	A			
C E G# B .	4	1 3 5# 7 .	100010001001	2185	Theoretical - No Known Name		C	0 4 8 11	1	G#			
C E G Ab .	4	1 3 5 6b .	100010011000	2200	Theoretical - No Known Name		Ab	0 4 7 8	5	E			
C E F# G# B .	5	1 3 4# 5# 7 .	100010101001	2217	Theoretical - No Known Name		C	0 4 6 8 11	1	G#			
C D E G Ab .	5	1 2 3 5 6b .	101010011000	2712	Raga Bhupeshwari, Janasammodini (India)		Ab	0 2 4 7 8	5	E			
C Db F G A .	5	1 2b 4 5 6 .	110001010100	3156	Altered Pentatonic		Db	0 1 5 7 9	6	A			
C D Eb E A B .	6	1 2 3b 3 6 7 .	101110000101	2949	Theoretical - No Known Name		Eb	0 2 3 4 9 11	4	B			
C D Eb F Gb G .	6	1 2 3b 4 5b 5 .	101101110000	2928	Theoretical - No Known Name		Gb	0 2 3 5 6 7	7	D			
C Db Eb Fb F Bb .	6	1 2b 3b 4b 4 b7 .	110111000010	3522	Theoretical - No Known Name		Fb	0 1 3 4 5 10	9	C			
C F G Ab Cb .	5	1 4 5 6b 8b .	100001011001	2137	Raga Devaranjani (India)		Cb	0 5 7 8 11	8	G			
C C# G# A .	4	1 1# 5# 6 .	110000001100	3084	Theoretical - No Known Name		C	0 1 8 9	1	G#			
C Eb B .	3	1 3b 7 .	100100000001	2305	Theoretical - No Known Name		Eb	0 3 11	4	B			
C Eb E B .	4	1 3b 3 7 .	100110000001	2433	Theoretical - No Known Name		Eb	0 3 4 11	4	B			
C F# G# A .	4	1 4# 5# 6 .	100000101100	2092	Theoretical - No Known Name		C	0 6 8 9	1	G#			
C Eb A B .	4	1 3b 6 7 .	100100000101	2309	Theoretical - No Known Name		Eb	0 3 9 11	4	B			
C D Eb Gb .	4	1 2 3b 5b .	101100100000	2848	Harmonic Minor Tetrachord		Gb	0 2 3 6	7	D			
C Eb E A B .	5	1 3b 3 6 7 .	100110000101	2437	Theoretical - No Known Name		Eb	0 3 4 9 11	4	B			
C C# G# A B .	5	1 1# 5# 6 7 .	110000001101	3085	Theoretical - No Known Name		C	0 1 8 9 11	1	G#			
C D Eb E B .	5	1 2 3b 3 7 .	101110000001	2945	Theoretical - No Known Name		Eb	0 2 3 4 11	4	B			
C Db D A Bb .	5	1 1# 2 6 7b .	111000000110	3590	Theoretical - No Known Name		Db	0 1 2 9 10	6	A			
C D Eb B .	4	1 2 3b 7 .	101100000001	2817	Theoretical - No Known Name	Shostakovich monogram	Eb	0 2 3 11	4	B			
C Db Eb Fb .	4	1 2b 3b 4b .	110110000000	3456	Alternating TetraMirror		Fb	0 1 3 4	9	C			
C F# G# A B .	5	1 4# 5# 6 7 .	100000101101	2093	Theoretical - No Known Name		C	0 6 8 9 11	1	G#			
C D Eb A B .	5	1 2 3b 6 7 .	101100000101	2821	Theoretical - No Known Name		Eb	0 2 3 9 11	4	B			
C D Eb F Gb  .	5	1 2 3b 4 5b .	101101100000	2912	Theoretical - No Known Name		Gb	0 2 3 5 6 	7	D			
C Db Eb Fb Bb .	5	1 2b 3b 4b 7b .	110110000010	3458	Theoretical - No Known Name		Fb	0 1 3 4 10	9	C			
C C# E F# G# A .	6	1 1# 3 4# 5# 6 .	110010101100	3244	Raga Hejjajji (India)		C	0 1 4 6 8 9	1	G#			
C Eb E G A B .	6	1 3b 3 5 6 7 .	100110010101	2453	Lydian b3 Hexatonic		Eb	0 3 4 7 9 11	4	B			
C C# E G# A .	5	1 1# 3 5# 6  .	110010001100	3212	Theoretical - No Known Name		C	0 1 4 8 9	1	G#			
C Eb E G B .	5	1 3b 3 5 7 .	100110010001	2449	Theoretical - No Known Name		Eb	0 3 4 7 11	4	B			
C E F Ab A .	5	1 3 4 6b 6 .	100011001100	2252	Theoretical - No Known Name		Ab	0 4 5 8 9	5	E			
C E G# A .	4	1 3 5# 6 .	100010001100	2188	Theoretical - No Known Name		C	0 4 8 9	1	G#			
C Eb G B .	4	1 3b 5 7 .	100100010001	2321	Minor Major Seventh Chord e.g. CmMaj7	Chord - CmMaj7	Eb	0 3 7 11	4	B			
C E F Ab .	4	1 3 4 6b .	100011001000	2248	Theoretical - No Known Name		Ab	0 4 5 8	5	E			
C E F# G# A .	5	1 3 4# 5# 6 .	100010101100	2220	Theoretical - No Known Name		C	0 4 6 8 9	1	G#			
C Eb G A B .	5	1 3b 5 6 7 .	100100010101	2325	Theoretical - No Known Name		Eb	0 3 7 9 11	4	B			
C D E F Ab .	5	1 2 3 4 6b .	101011001000	2760	Theoretical - No Known Name		Ab	0 2 4 5 8	5	E			
C C# E G# A B .	6	1 1# 3 5# 6 7 .	110010001101	3213	Theoretical - No Known Name		C	0 1 4 8 9 11	1	G#			
C D Eb E G B .	6	1 2 3b 3 5 7 .	101110010001	2961	Theoretical - No Known Name		Eb	0 2 3 4 7 11	4	B			
C E F G Ab A .	6	1 3 4 5 6b 6 .	100011011100	2268	Raga Saravati (b6) (India)		Ab	0 4 5 7 8 9	5	E			
C Db Eb Fb F Ab .	6	1 2b 3b 4b 4 6b .	110111001000	3528	Theoretical - No Known Name		Fb	0 1 3 4 5 8	9	C			
C E G# A B .	5	1 3 5# 6 7 .	100010001101	2189	Theoretical - No Known Name		C	0 4 8 9 11	1	G#			
C D Eb G B .	5	1 2 3b 5 7 .	101100010001	2833	Theoretical - No Known Name		Eb	0 2 3 7 11	4	B			
C E F G Ab .	5	1 3 4 5 6b .	100011011000	2264	Raga Zilaf, (India)		Ab	0 4 5 7 8	5	E			
C Db F A Bb .	5	1 2b 4 6 7b .	110001000110	3142	Theoretical - No Known Name		Db	0 1 5 9 10	6	A			
C Db Eb Fb Ab .	5	1 2b 3b 4b 6b .	110110001000	3464	Theoretical - No Known Name		Fb	0 1 3 4 8	9	C			
C E F# G# A B .	6	1 3 4# 5# 6 7 .	100010101101	2221	Theoretical - No Known Name		C	0 4 6 8 9 11	1	G#			
C D Eb G A B .	6	1 2 3b 5 6 7 .	101100010101	2837	Hawaiian	Nando Kyemyonjo (Korea) - Minor Pentachord	Eb	0 2 3 7 9 11	4	B			
C Db F G A Bb .	6	1 2b 4 5 6 7b .	110001010110	3158	Raga Rasavali (India)		Db	0 1 5 7 9 10	6	A			
C D Eb F Gb Bb .	6	1 2 3b 4 5b 7b .	101101100010	2914	Theoretical - No Known Name		Gb	0 2 3 5 6 10	7	D			
C Db Eb Fb Ab Bb .	6	1 2b 3b 4b 6b 7b .	110110001010	3466	Theoretical - No Known Name		Fb	0 1 3 4 8 10	9	C			
C Db F G Bb B .	6	1 2b 4 5 7b 7 .	110001010011	3155	Theoretical - No Known Name		Db	0 1 5 7 10 11	6	B			
C C# D E F# G# B .	7	1 1# 2 3 4# 5# 7 .	111010101001	3753	Theoretical - No Known Name		C	0 1 2 4 6 8 11	1	G#			
C D E F# A Bb B .	7	1 2 3 4# 6 7b 7 .	101010100111	2727	Theoretical - No Known Name		Bb	0 2 4 6 9 10 11	3	F#			
C D E G Ab A Bb .	7	1 2 3 5 6b 6 7b .	101010011110	2718	Theoretical - No Known Name		Ab	0 2 4 7 8 9 10	5	E			
C Db D Eb F G A .	7	1 2b 2 3b 4 5 6 .	111101010100	3924	Theoretical - No Known Name		Db	0 1 2 3 5 7 9	6	A			
C D F Gb G Ab Bb .	7	1 2 4 4# 5b 5 6b 7b .	101001111010	2682	Theoretical - No Known Name		Gb	0 2 5 6 7 8 10	7	D			
C C# D F# G# B .	6	1 1# 2 4# 5# 7 .	111000101001	3625	Theoretical - No Known Name		C	0 1 2 6 8 11	1	G#			
C E F# A Bb B .	6	1 3 4# 6 7b 7 .	100010100111	2215	Theoretical - No Known Name		Bb	0 4 6 9 10 11	3	B			
C Db D Eb G A .	6	1 2b 2 3b 5 6 .	111100010100	3860	Theoretical - No Known Name		Db	0 1 2 3 7 9	6	A			
C D F Gb G Ab .	6	1 2 4 4# 5b 5 6b .	101001111000	2680	Theoretical - No Known Name		Gb	0 2 5 6 7 8	7	D			
C C# D F# G# .	5	1 1# 2 4# 5#  .	111000101000	3624	Theoretical - No Known Name		C	0 1 2 6 8	1	G#			
C Eb F B .	4	1 3b 4 7 .	100101000001	2369	Theoretical - No Known Name		Eb	0 3 5 11	4	B			
C D G# .	3	1 2 5# .	101000001000	2568	Theoretical - No Known Name		C	0 2 8	1	G#			
C D F# G# .	4	1 2 4# 5# .	101000101000	2600	Messiaen Truncated Mode 6		C	0 2 6 8	1	G#	Olivier Messiaen	"http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/
http://www.ehow.com/how_4479839_play-messiaens-truncated-mode-6.htmlhttp://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/
http://www.ehow.com/how_4479839_play-messiaens-truncated-mode-6.html"	
C E F# Bb .	4	1 3 4# 7b .	100010100010	2210	Messiaen Truncated Mode 6 Inverse?		Bb	0 4 6 10	3	F#		http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/	
C C# D G# B .	5	1 1# 2 5# 7 .	111000001001	3593	Raga Kumarapriya (India)		C	0 1 2 8 11	1	G#			
C C# D F B .	5	1 1# 2 4 7 .	111001000001	3649	Theoretical - No Known Name		F	0 1 2 5 11	2	C#			
C F# A Bb B .	5	1 4# 6 7b 7 .	100000100111	2087	Theoretical - No Known Name		Bb	0 6 9 10 11	3	F#			
